ID,label,node,value
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Paper Metadata,Paper title,Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Paper Metadata,Paper DOI,10.1007/s00466-024-02488-y
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,DT General Information,Biomodels link,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,DT General Information,DT readiness scale,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,DT General Information,FAIR sharing link,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,DT General Information,Scientific domain,Engineering
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,DT General Information,Stage of DT development,TRL 4 (Technology validated in lab)
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,DT General Information,Type of Digital Twin,Digital twin
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,DT General Information,Use case,Computational design optimization of Love wave sensor parameters (wave guiding layer thickness) to maximize mass sensitivity for biomarker detection in lab-on-a-chip devices
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Data Services,Asynchronous integration,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Data Services,Data integration,Finite Element Method (FEM) multiphysics simulation integrating mechanical deformation and electric field coupling
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Data Services,Data pipeline,Parameter sweep simulations performed over wave guiding layer thickness within Representative Volume Element (RVE) using FEniCS FEM solver
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Data Services,Data source,Computational simulation data generated by FEniCS FEM solver; material properties from literature; no physical sensor data mentioned
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Data Services,Data Storage,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Data Services,Data archive services,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Data Services,Data streaming,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Data Services,Data transformation,Coordinate transformation between crystallographic and Cartesian coordinates; eigenvalue problem solution for modal extraction
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Data Services,DT model repository,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Data Services,DT instance repository,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Data Services,Real-time processing,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Data Services,Sensor,Not available (device modeled computationally; no physical sensors integrated)
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Data Services,Sensor metadata,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Data Services,Simulation model repository,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Data Services,Synthetic data generation,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Data Services,Temporal data store,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Integration,API services,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Integration,Digital Twin federation,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Integration,Interoperability,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Integration,Network architecture,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Integration,Ontology,Not available
Digital twin of surface acoustic wave transceivers for a computational design of an optimal wave guiding layer thickness,Integration,Collaboration platform integration,Not available
